ID,artsy-URL,name,normalized type,Definition
504fb4584ed2d60002000344,http://artsy.net/gene/abstract-art,Abstract Art,Broad Category,"_“It is well to remember that a picture, before being a battle horse, a nude woman or some anecdote, is essentially a flat surface covered with colours assembled in a certain order.” —[Maurice Denis](/artist/maurice-denis)_

While abstraction is evident around the world in art and functional objects, its art-historical significance is as a category for 20th-century Western art that moved away from the faithful representation of nature. The origins of abstraction are commonly located in the works of [J.M.W. Turner](/artist/joseph-mallord-william-turner), [Gustave Courbet](/artist/gustave-courbet), [Édouard Manet](/artist/edouard-manet), the [Impressionists](/gene/impressionism), as well as in the early 1900s, when [Paul Cézanne](/artist/paul-cezanne)'s stylized, flattened forms influenced what would eventually be called the [Cubism](/gene/cubism) of [Pablo Picasso](/artist/pablo-picass) and [Georges Braque](artist/georges-braque). Arguably the first abstract art movement, Cubism would prove foundational to countless branches of abstract art, including [Futurism](/gene/futurism) in Italy, the non-objective abstraction of [Wassily Kandinsky](/artist/wassily-kandinsky), [Kasimir Malevich](/artist/kasimir-malevich), and [Piet Mondrian](/artist/piet-mondrian), and the [Purism](/gene/purism) of [Le Corbusier](/artist/le-corbusier) and [Amédée Ozenfant](/artist/amedee-ozenfant). Though the intervening decades have seen returns to representation in different movements, virtually all of the dominant art forms of the latter half of the 20th century—including [Abstract Expressionism](/gene/abstract-expressionism), [Neo-Dada](/gene/neo-dada), [Pop Art](/gene/pop-art), [Minimalism](/gene/minimalism), and [Conceptual Art](/gene/conceptual-art)—have embraced the power and aesthetic of formal abstraction in lieu of literal representation.
"
520baa99a09a678af00000cc,http://artsy.net/gene/figurative-art,Figurative Art,Broad Category,"A general category for artworks that represent recognizable material in the visible world, as opposed to abstract art. The variety of approaches to figurative art is enormous and almost as diverse as the history of art itself. In painting, figuration ranges from [Photorealism](/gene/photorealism) (like that of [Chuck Close](/artist/chuck-close)) at one end of the spectrum to nearly abstract (like Pablo Picasso’s Analytic Cubism) at the other. For much of the 20th century, figurative painting was largely ignored by the Western avant-garde, but the course changed with the 1980s emergence of figurative painters like [Anselm Kiefer](/artist/anselm-kiefer), [Jean-Michel Basquiat](/artist/jean-michel-basquiat), and [David Salle](/artist/david-salle)."
4d90d196dcdd5f44a50000c0,http://artsy.net/gene/figurative-sculpture,Figurative Sculpture,Broad Category,"Sculptures that represent the visible world. While the term figurative sculpture is generally associated with historical works created in traditional materials such as marble or bronze, such as the [_Venus de Milo_](/artwork/aphrodite-of-melos-called-venus-de-milo), Michelangelo's [_David_](/artwork/michelangelo-buonarroti-david-1), or [Auguste Rodin's](/artist/auguste-rodin) _The Thinker_, contemporary artists continue to explore its wide range of possibilities through a variety of new techniques and materials. Importantly, there is no strict division between figurative and abstract sculpture. Many works deemed figurative—especially those made in the 20th century—have abstract elements, and vice versa."
4ef4f7855bd32e0001005ade,http://artsy.net/gene/abstract-sculpture,Abstract Sculpture,Broad Category,"_""What is real is not the external form but the essence of things. Starting from this truth it is impossible for anyone to express anything essentially real by imitating its exterior surface."" —[Constantin Brancusi](/artist/constantin-brancusi)_

In the early 20th century, many avant-garde sculptors pushed the bounds of accepted modes of representation, abandoning faithfulness to the visible world in favor of abstraction. The question many artists asked was no longer how to reproduce the world as it appeared, but rather how to best express realities of life (sensed and theorized) through forms. Ever since, abstract sculpture has offered particularly fertile ground for experiments in shape, proportion, and technique, as well as for the embrace of non-traditional sculpting methods (apart from casting, welding, or direct carving), such as industrial manufacturing processes, plastic moulds, and even [3D printing](/gene/3d-printed). Modern strands of abstract sculpture include [Concrete Art](/gene/concrete-art)'s mathematically precise and elegant forms, the strict geometry and forceful presence of [Minimalist](/gene/minimalism) objects, and [Kinetic Sculpture](/gene/kinetic-sculpture)'s embodiment of movement and physical forces."
505b5a9b930ad000020008e0,http://artsy.net/gene/abstract-versus-figurative-art,Abstract versus Figurative Art,Broad Category,"_“There is no abstract art. You must always start with something. Afterward you can remove all traces of reality.” —[Pablo Picasso](/artist/pablo-picasso)_

Of all the art battles and debates of the 20th century, none has been as divisive as that between abstract and figurative art. With the emergence of [Cubism](/gene/cubism) and the movements and artists that followed it, as well as the writings of American critics like Clement Greenberg, the progression towards a non-objective abstraction (wherein no objects could be recognized) became the dominant story of modern art; in turn, figuration became discredited, labeled as retrograde and aligned with enemy politics (read: Communism and [Socialist Realism](/gene/socialist-realism), or the National Socialist dictate of figurative art). Yet in reality, for many artists throughout the 20th century and into the present day, the dividing line between abstraction and figuration was much more porous, leading these artists to create paintings and works on paper somewhere in between the two. In the immediate post-war period in Europe, [Francis Bacon](/artist/francis-bacon) walked what he called the “tightrope between abstraction and figuration” to ask existential questions about the image of man, while contemporary artists like [Cecily Brown](/artist/cecily-brown) continue the tradition of [Willem de Kooning](/artist/willem-de-kooning), pushing their figures even closer to complete abstraction."
4fbaba908b313700010006b2,http://artsy.net/gene/abstract-painting,Abstract Painting,Broad Category,"Though traces of abstraction in two-dimensional art date back to the stone ages, abstract painting is popularly understood to have begun with the works of [J.M.W. Turner](/artist/joseph-mallord-william-turner), [Gustave Courbet](/artist/gustave-courbet), [Édouard Manet](/artist/edouard-manet), the [Impressionists](/gene/impressionism), as well as in the early 1900s, when [Paul Cézanne](/artist/paul-cezanne)'s stylized, flattened forms influenced what would eventually be called the [Cubism](/gene/cubism) of [Pablo Picasso](/artist/pablo-picasso) and [Georges Braque](artist/georges-braque). Arguably the first [abstract art](/gene/abstract-art) movement, Cubism would prove foundational to countless branches of abstract art, particularly those which lacked any recognizable link to the visible world. [Wassily Kandinsky](/artist/wassily-kandinsky) and [Robert Delaunay](/artist/robert-delaunay) were among the first artists to make such paintings: pure compositions of line, form, and color. While these early artists broke the ice for entirely abstract art, they were just a few among its many important early exponents, which also included [Marcel Duchamp](/artist/marcel-duchamp), [Francis Picabia](/artist/francis-picabia), [Piet Mondrian](/artist/piet-mondrian), and [Kazimir Malevich](/artist/kasimir-severinovich-malevich)."
4fbabaa5be12d400010007c4,http://artsy.net/gene/figurative-painting,Figurative Painting,Broad Category,"Paintings that represent recognizable things in the visible world, as opposed to abstract painting. The variety of approaches to figurative painting is enormous, and almost as diverse as the history of art itself. The two poles are, essentially, stylistic: [Photorealism](/gene/photorealistic) (like that of [Chuck Close](/artist/chuck-close)) at one extreme, and nearly abstract and unrecognizable figuration (like [Pablo Picasso](/artist/pablo-picasso)'s Analytic [Cubism](/gene/cubism)) at the other. While for much of the 20th century figurative painting was largely ignored by the Western avant-garde, the course changed with the 1980s emergence of figurative painters like [Anselm Kiefer](/artist/anselm-kiefer), [Jean-Michel Basquiat](/artist/jean-michel-basquiat), and [David Salle](/artist/david-salle); this renewed interest in turn shed light on figurative painters who had long been working in the same vein, from [Lucian Freud](/artist/lucian-freud) and [Alice Neel](/artist/alice-neel) to [Alex Katz](/artist/alex-katz), [Gerhard Richter](/artist/gerhard-richter), and countless others. Today, painters like [John Currin](/artist/john-currin), [Kehinde Wiley](/artist/kehinde-wiley), [Jenny Saville](/artist/jenny-saville), and [Elizabeth Peyton](/artist/elizabeth-peyton) represent the various approaches to figurative work."
4e6a4315ec5e520001072274,http://artsy.net/gene/myth-slash-religion,Myth/Religion,Broad Concept,A general category for artworks containing religious or mythological symbols or conveying religious or mythological ideas. Examples range from historical pieces featuring gods and goddesses to contemporary works in which the artist engages with broad religious ideas or creates personal mythologies.
56d610e4b202a34c4700016e,http://artsy.net/gene/feminist-art-and-contemporary-feminist,Feminist Art and Contemporary Feminist,Broad Concept,
56d612e7275b241d10000213,http://artsy.net/gene/gender-and-sexual-identity,Gender and Sexual Identity,Broad Concept,
56d613398b0c142caf000194,http://artsy.net/gene/minimalism-and-contemporary-minimalist,Minimalism and Contemporary Minimalist,Broad Concept,
4e60345be890b1000124efe0,http://artsy.net/gene/latin-america-and-the-caribbean,Latin America and the Caribbean,Broad Geographic Region,Artists who are from or who have lived in Latin America or the Caribbean.
4e6032e6e890b10001225722,http://artsy.net/gene/western-europe,Western Europe,Broad Geographic Region,"Artists who are from or who have lived in the geographic region of Western Europe, which includes Andorra, Austria, Belgium, Denmark, Finland, France, Germany, Greece, Iceland, Ireland, Italy, Liechtenstein, Luxemborg, Monaco, Netherlands, Norway, Portugal, Spain, Sweden, Switzerland, and the United Kingdom."
4e60387ce890b10001268166,http://artsy.net/gene/middle-east,Middle East,Broad Geographic Region,"Artists who are from or have lived in the Middle East, which includes Bahrain, Egypt, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Oman, Palestinian territories, Qatar, Saudi Arabia, Syria, United Arab Emirates and Yemen. "
4f27162473098200010002ab,http://artsy.net/gene/africa,Africa,Broad Geographic Region,Artists who are from or who have lived in Africa.
